 ,number,MoraActual,Colocado actual,Sucursal,FechaPrimerCompra,FechaUltimaCompra,Recencia,ComprasUltimoMes,ComprasPromedio6meses,ColocadoPromedio6meses,RentabilidadPromedioVale,RentabilidadPromedioMes,UsoLinea,LimiteCredito,LimiteContractual,Estatus,Nivel,R,F,M,Código RFM,Accion requerida
10505,9791,0,128338,Durango,2023-10-16,2025-09-01,3,12,8,"$95,518",$244,"$1,948",86.79%,"$131,000","$250,000",Autorizado,Plata,4,3,4,434,🎟️​ Crecer frecuencia
10506,9792,0,85524.92,Minatitlan,2023-10-10,2025-09-03,1,6,6,"$72,796",$251,"$1,592",72.26%,"$100,000","$100,000",Autorizado,Plata,5,2,3,523,🎟️​ Crecer frecuencia
10507,9793,0,37122,San Pedro de las Colonias,2023-10-11,2025-08-04,31,2,4,"$49,237",$33,$138,0.4512923077,"$65,000","$400,000",Autorizado,Bronce,2,1,2,212,🚨Impedir Abandono
10508,9794,0,71415,Huatabampo,2023-10-19,2025-09-02,2,8,4,"$56,990",$521,"$2,258",96.71%,"$72,000","$100,000",Autorizado,Plata,4,2,3,423,🏆 Candidata a Incremento
10509,9795,0,226233,Puerto Vallarta,2023-10-14,2025-09-02,2,21,11,"$186,659",$207,"$2,306",0.9182038462,"$260,000","$400,000",Autorizado,Platino,4,3,3,433,📈​ Crecer Monto
10511,9797,0,60245.89,Saltillo,2023-10-11,2025-08-26,9,3,3,"$49,709",$565,"$1,791",0.8568225806,"$62,000","$100,000",Autorizado,Bronce,4,1,3,413,🎟️​ Crecer frecuencia
10512,9798,0,71115.71,Patzcuaro,2023-10-11,2025-08-30,5,4,5,"$72,271",$547,"$2,827",67.47%,"$93,500","$100,000",Autorizado,Plata,4,1,3,413,🎟️​ Crecer frecuencia
10513,9799,0,71512,Gomez Palacio,2023-10-11,2025-08-16,19,7,6,"$85,535",$81,$489,49.71%,"$116,481","$400,000",Autorizado,Plata,3,2,3,323,🥶Enfriándose
10516,9802,0,21615,Morelia,2023-10-11,2025-08-30,5,1,1,"$20,838",$583,$816,0.4856,"$40,000","$100,000",Autorizado,Bronce,4,1,2,412,🎟️​ Crecer frecuencia
10519,9805,0,23042.76,Morelia,2023-10-13,2025-08-21,14,1,2,"$19,033",$598,"$1,046",0.4916,"$40,000","$100,000",Autorizado,Inicial,4,1,3,413,🎟️​ Crecer frecuencia
10520,9806,0,52006,Patzcuaro,2023-10-17,2025-08-19,16,3,2,"$34,202",$700,"$1,679",0.8258571429,"$56,000","$100,000",Autorizado,Bronce,3,1,3,313,🥶Enfriándose
10525,9811,0,78874.66,Navolato,2023-10-12,2025-09-02,2,5,6,"$61,834",$565,"$3,294",99.52%,"$82,000","$100,000",Autorizado,Plata,4,2,3,423,🏆 Candidata a Incremento
10526,9812,0,22800,Orizaba,2023-10-11,2025-08-02,33,1,2,"$34,544",$322,$644,0.3557692308,"$52,000","$100,000",Autorizado,Bronce,2,1,2,212,🚨Impedir Abandono
10528,9814,0,182561,San Pedro de las Colonias,2023-10-12,2025-09-03,1,23,17,"$154,799",$23,$377,0.8924797949,"$195,000","$400,000",Bloqueado (Automatico),Platino,5,4,2,542,📈​ Crecer Monto
